INDICATOR,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2000,2000,6202,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2001,2001,7014,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2002,2002,6744,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2003,2003,6836,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2004,2004,7083,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2005,2005,9740,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2006,2006,10883,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2007,2007,12684,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2008,2008,13870,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2009,2009,13349,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2010,2010,13209,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2011,2011,13694,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2012,2012,14808,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2013,2013,15316,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2014,2014,15665,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2015,2015,16693.274,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2016,2016,15851.85,,
20402,Researchers (FTE) - Engineering and technology,CZE,Czechia,2017,2017,16647.463,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2000,2000,4535,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2001,2001,4756,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2002,2002,4991,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2003,2003,5114,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2004,2004,4549,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2005,2005,4984,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2006,2006,5996,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2007,2007,6149,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2008,2008,5976,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2009,2009,7019,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2010,2010,8057,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2011,2011,9164,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2012,2012,9854,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2013,2013,10206,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2014,2014,10886,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2015,2015,10396,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2016,2016,11374,,
20402,Researchers (FTE) - Engineering and technology,HUN,Hungary,2017,2017,13018,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2000,2000,18253,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2001,2001,18315,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2002,2002,17009,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2003,2003,17424,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2004,2004,18355,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2005,2005,19948,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2006,2006,19134,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2007,2007,19083,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2008,2008,18548,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2009,2009,19152,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2010,2010,21846,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2011,2011,20172,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2012,2012,23516,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2013,2013,27748,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2014,2014,31400,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2015,2015,34520,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2016,2016,37813,,
20402,Researchers (FTE) - Engineering and technology,POL,Poland,2017,2017,49292,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2000,2000,4502,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2001,2001,4654,,
