ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Afghanistan,Employment by sex and occupation - ISCO level 2 (thousands),AFG - HIES - Living Condition Survey,Sex: Total,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2014,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Employment by sex and occupation - ISCO level 2 (thousands),AFG - HIES - Living Condition Survey,Sex: Male,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2014,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and occupation - ISCO level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2013,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and occupation - ISCO level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2013,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and occupation - ISCO level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2013,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and occupation - ISCO level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2014,0.9287,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and occupation - ISCO level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2014,0.6534,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and occupation - ISCO level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2014,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and occupation - ISCO level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2015,1.7285,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and occupation - ISCO level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2015,1.2597,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and occupation - ISCO level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2015,0.4687,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and occupation - ISCO level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2016,3.4835,,,Repository: ILO-STATISTICS - Micro data processing
