ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2014,4.7353,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2014,3.5105,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2014,1.2248,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2015,4.7609,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2015,3.2565,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2015,1.5044,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2016,7.2161,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2016,5.5568,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2016,1.6593,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2017,5.0031,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Employment by sex and economic activity - ISIC level 2 (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2017,3.1953,,,Repository: ILO-STATISTICS - Micro data processing
