Country Name,Country Code,Made or received digital payments in the past year (% age 15+) [g20.t] - 2011 [YR2011],Made or received digital payments in the past year (% age 15+) [g20.t] - 2014 [YR2014],Made or received digital payments in the past year (% age 15+) [g20.t] - 2017 [YR2017],"Made or received digital payments in the past year, female  (% age 15+) [g20.t.2] - 2011 [YR2011]","Made or received digital payments in the past year, female  (% age 15+) [g20.t.2] - 2014 [YR2014]","Made or received digital payments in the past year, female  (% age 15+) [g20.t.2] - 2017 [YR2017]","Made or received digital payments in the past year, male  (% age 15+) [g20.t.1] - 2011 [YR2011]","Made or received digital payments in the past year, male  (% age 15+) [g20.t.1] - 2014 [YR2014]","Made or received digital payments in the past year, male  (% age 15+) [g20.t.1] - 2017 [YR2017]"
Afghanistan,AFG,..,5.570456505,10.82680035,..,1.118879318,4.080884457,..,9.786798477,17.49468422
Albania,ALB,..,20.01122093,28.82237053,..,19.2585907,27.75413322,..,20.78804779,29.95547867
Algeria,DZA,..,25.38703918,25.97552299,..,17.23021889,19.62188911,..,33.56617737,32.31523895
Angola,AGO,..,24.742836,..,..,18.14357948,..,..,31.17918396,..
Argentina,ARG,..,33.91107559,40.17798233,..,30.57419968,42.45534897,..,37.67212296,37.68569946
Armenia,ARM,..,12.17485619,41.51565552,..,10.01549816,33.89884949,..,14.72295094,50.39939117
Australia,AUS,..,94.9080658,95.86399078,..,95.43754578,96.14797974,..,94.34166718,95.57046509
Austria,AUT,..,92.33747864,96.1199646,..,93.76953125,95.23871613,..,90.81785583,97.07013702
Azerbaijan,AZE,..,17.68384552,24.57684517,..,14.45483685,22.88586807,..,21.11878395,26.29424858
Bahrain,BHR,..,69.22476196,77.26433563,..,52.25107193,65.70527649,..,78.50121307,83.20074463
Bangladesh,BGD,..,7.411641598,34.11082458,..,4.278467655,21.20809937,..,10.43495941,47.31197739
Belarus,BLR,..,61.13548279,78.65252686,..,59.48755646,78.13919067,..,63.14045715,79.27688599
Belgium,BEL,..,95.56079865,97.06121063,..,95.96903229,96.90057373,..,95.13633728,97.23066711
Belize,BLZ,..,24.01874733,..,..,27.44823647,..,..,20.54940033,..
Benin,BEN,..,8.161907196,28.47525215,..,5.549240112,18.88608551,..,10.8742857,38.28775406
Bhutan,BTN,..,17.20166779,..,..,12.75599861,..,..,21.16003227,..
Bolivia,BOL,..,27.01526642,40.02423096,..,22.34842491,36.28735733,..,31.93297768,43.94458389
Bosnia and Herzegovina,BIH,..,32.03585052,50.26570511,..,25.23367119,45.1745491,..,39.45347214,55.64377213
Botswana,BWA,..,42.190979,41.80766296,..,39.42825317,38.71889877,..,44.9900589,45.5760994
Brazil,BRA,..,50.39469147,57.85981369,..,42.38828659,57.27121353,..,58.91596222,58.51224518
Bulgaria,BGR,..,47.84059143,64.91512299,..,46.59194183,67.28547668,..,49.2244606,62.29387665
Burkina Faso,BFA,..,8.289869308,38.91531372,..,7.306782722,30.06323624,..,9.28126812,47.21538544
Burundi,BDI,..,4.0911479,..,..,3.77656889,..,..,4.41391325,..
Cambodia,KHM,..,17.64597321,15.56839085,..,16.38528061,15.13703728,..,19.25149727,16.0836525
Cameroon,CMR,..,7.73704052,28.58265305,..,6.549183369,22.77101135,..,8.925863266,34.51311874
Canada,CAN,..,96.28993988,97.8546524,..,97.99858093,97.22787476,..,94.45355225,98.5245285
Central African Republic,CAF,..,..,9.257206917,..,..,6.151954651,..,..,12.60005665
Central America (excluding high income),CAM,..,..,..,..,..,..,..,..,..
Chad,TCD,..,9.204696655,19.04243851,..,6.332969666,13.59888172,..,12.33737755,24.77173424
Chile,CHL,..,52.61479187,65.37659454,..,47.30164337,61.35266495,..,58.53042603,69.8312149
China,CHN,..,44.46873474,67.93611145,..,42.86343384,64.08102417,..,46.02069473,71.6646347
Colombia,COL,..,29.56818008,37.32743073,..,24.14171219,33.22626495,..,35.40063095,41.9316864
Comoros,COM,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,..,14.68994141,21.71632767,..,12.3198061,18.99069023,..,17.0884285,24.36829758
"Congo, Rep.",COG,..,9.175847054,17.81453705,..,8.457719803,13.52162647,..,9.888008118,22.12698555
Costa Rica,CRI,..,49.21451569,59.1781311,..,44.47157288,50.94240952,..,54.3502388,68.19928741
Cote d'Ivoire,CIV,..,29.56973267,38.3177681,..,26.20475578,33.18238831,..,32.75152969,43.00798035
Croatia,HRV,..,71.97953796,83.13303375,..,69.3649826,79.11256409,..,74.76793671,87.44290924
Cyprus,CYP,..,66.56985474,80.13518524,..,64.87671661,82.16982269,..,68.36804199,77.94062805
Czech Republic,CZE,..,78.16247559,79.55685425,..,74.76618195,77.00431061,..,81.77883148,82.29721832
Denmark,DNK,..,99.05781555,99.39408875,..,98.9508667,99.22150421,..,99.16822815,99.57038879
Djibouti,DJI,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,..,32.33272171,44.38900757,..,29.99165916,41.25547791,..,34.7221489,47.55292511
Ecuador,ECU,..,24.17218971,31.55611992,..,15.84466076,23.85963821,..,32.91188049,39.56472397
"Egypt, Arab Rep.",EGY,..,7.878083229,22.83204842,..,3.723517418,16.78113747,..,11.87381554,28.96570015
El Salvador,SLV,..,28.32727432,23.6029377,..,23.41382599,18.27911758,..,33.58633423,30.04198074
Estonia,EST,..,95.4246521,96.76200867,..,95.7308197,97.51544952,..,95.05084229,95.87817383
Eswatini,SWZ,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,..,5.38834095,11.89248753,..,6.29908514,8.15694809,..,4.427958488,15.86452389
Finland,FIN,..,98.38388824,98.30278015,..,98.15950012,97.5452652,..,98.62674713,99.11901093
France,FRA,..,91.98464966,92.1905365,..,90.98522949,90.07110596,..,93.06375122,94.51113129
Gabon,GAB,..,22.99336433,53.99885178,..,22.11898232,49.09276962,..,23.91738319,59.20791626
Georgia,GEO,..,20.82040977,52.95394135,..,17.21725845,54.87590027,..,24.95616913,50.74403381
Germany,DEU,..,95.70218658,97.75817108,..,96.25604248,97.83198547,..,95.12414551,97.67903137
Ghana,GHA,..,25.12379074,49.4667244,..,22.34602356,43.98495102,..,27.99251938,55.05836105
Greece,GRC,..,38.95906067,73.74310303,..,34.47108459,71.10760498,..,43.7218132,76.52720642
Guatemala,GTM,..,26.27848625,33.2706604,..,20.59789658,31.6757431,..,32.60181427,35.04650497
Guinea,GIN,..,5.84241724,20.2478714,..,3.208799362,16.54546547,..,8.47091198,23.91448021
Haiti,HTI,..,10.42589664,27.52124977,..,7.84597683,25.36691666,..,13.08649445,29.80771065
Honduras,HND,..,21.85916519,37.2003746,..,18.32350159,31.83146667,..,25.51453018,43.18727112
