ID,Goal,Target,Indicator,ReleaseStatus,ReleaseName,SeriesID,SeriesCode,isDSDSeries,SeriesDescription,SeriesObservationCount,GeoAreaCode,GeoAreaName,TimePeriod,Value,ValueType,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,ObservationID,Age,Freq,Location,Nature,Sex,UnitMultiplier,Units,Level/Status,Name of international agreement,Education level,Type of product,Type of facilities,Name of international institution,Type of occupation,Tariff regime (status),Type of skill,Mode of transportation,Type of mobile technology,Name of non-communicable disease,Type of speed,Migratory status,Disability status,Hazard type,IHR Capacity,Cities,Reporting Type,Quantile,Activity,Observation Status,Policy Domains,Policy instruments,Sampling Stations,Type of waste treatment,Grounds of discrimination,Parliamentary committees,Cause of death,Substance use disorders,Mountain Elevation,Deviation Level,Frequency of Chlorophyll-a concentration,Food Waste Sector,Fiscal intervention stage
1056277,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,4,Afghanistan,2016,46.82207,Float,2016,,,,,ITU,,"",6015196,,,,,BOTHSEX,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056278,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,12,Algeria,2018,92.62223,Float,2018,,,,,"Ministry of Post, Telecommunications, Technologies and Digital",,"",6014927,,,,,MALE,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056279,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,12,Algeria,2018,87.87972,Float,2018,,,,,"Ministry of Post, Telecommunications, Technologies and Digital",,"",6014928,,,,,BOTHSEX,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056280,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,12,Algeria,2018,83.0695,Float,2018,,,,,"Ministry of Post, Telecommunications, Technologies and Digital",,"",6014929,,,,,FEMALE,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056281,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,24,Angola,2014,79.80268,Float,2014,,,,,ITU,,"",6014930,,,,,FEMALE,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056282,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,24,Angola,2014,78.63767,Float,2014,,,,,ITU,,"",6014931,,,,,BOTHSEX,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056283,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,24,Angola,2014,77.61143,Float,2014,,,,,ITU,,"",6014932,,,,,MALE,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056287,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,31,Azerbaijan,2013,72.41433,Float,2013,,,,,State Statistical Committee of the Republic of Azerbaijan,,"",6014936,,,,,BOTHSEX,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056288,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,31,Azerbaijan,2014,77.2075,Float,2014,,,,,State Statistical Committee of the Republic of Azerbaijan,,"",6014937,,,,,MALE,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056289,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,31,Azerbaijan,2014,73.9173,Float,2014,,,,,State Statistical Committee of the Republic of Azerbaijan,,"",6014938,,,,,BOTHSEX,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
